,,Java,Classes,LOC,PL,RFC,CLOC,CBO,NOC,LCOM,WMC,Readability,DIT,questions
2017,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999992,1.0,1.0,0.0
2017,11,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2017,12,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,1,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,2,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,3,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,4,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,5,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,6,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,7,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,8,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,9,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,10,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,11,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,12,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2019,1,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2019,2,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2019,3,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2019,4,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2019,5,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2019,6,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2019,7,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2019,8,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2019,9,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,10,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,11,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,12,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,1,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,2,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,3,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,4,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,5,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,6,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,7,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,8,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,9,1.0,1.0,0.9999999999999993,0.9999999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
